,bidder_type,highest_bid,second_highest_bid
0,early_bidders,1966.8001087388943,1921.5300636648096
1,early_bidders,2706.6242827106726,1942.9293785033751
2,snipers,3103.631428053747,2818.8249699246167
3,snipers,2741.606890432006,2401.278379715053
4,snipers,2727.5269429153514,2683.3150498299005
5,snipers,2520.8082584416497,2285.6916010757777
6,snipers,2805.9348950013123,2468.785473582705
7,snipers,3036.3246704308617,2773.1462302957784
8,snipers,2649.293748706066,2322.030447619479
9,early_bidders,2524.941142052967,2403.7621578959092
10,snipers,2467.270391607773,2321.9492408489627
11,snipers,2726.7742262962747,2194.941920418654
12,snipers,2797.8201778283155,2425.38965684699
13,snipers,2486.4514250371435,2388.3763101340355
14,snipers,2462.270914312342,2075.105471326227
15,snipers,3877.508045141357,2977.595832128322
16,snipers,2207.369725980144,1924.965642647025
17,snipers,3599.8713271149763,2369.573287242944
18,snipers,2614.6535378108492,2078.936001335548
19,snipers,2432.1461418236313,2370.8070530625146
20,snipers,2344.564645185121,2320.389175219405
21,snipers,2506.3508886452796,2184.7047237252154
22,snipers,2926.153689655985,2114.901911335814
23,snipers,3317.552800344897,2325.5204670494923
24,early_bidders,2685.368493100461,2432.288843753693
25,snipers,2711.3461183255868,2112.67723646064
26,snipers,2567.470924887666,2374.978129027763
27,snipers,2836.1442526707588,2414.5072690190827
28,snipers,2314.2093133198223,1843.0342129300718
29,snipers,2611.5367964651964,2449.8323652157615
30,snipers,3051.6387230944374,1804.9882911112404
31,snipers,2498.079423610398,2297.235445293525
32,snipers,2138.528855001088,1938.2438423503806
33,snipers,2520.55007398044,2287.972306244938
34,snipers,4350.738833651154,2698.104532468934
35,snipers,2924.625345496554,2512.268253644971
36,early_bidders,2088.5690160374324,2052.091084642355
37,snipers,3036.992596803351,2379.405286860709
38,snipers,2189.791040658395,2098.5906948507463
39,early_bidders,2306.4120292145863,2078.2344584579846
40,early_bidders,2326.272541604325,2264.012178172358
41,snipers,2658.9499292015284,2571.198749303954
42,snipers,2033.8179655633776,1873.8471427184913
43,early_bidders,2377.7153198853966,2367.817808493797
44,early_bidders,2463.1454504101484,2002.2996376131364
45,snipers,2972.6713053671115,2269.9939357199873
46,snipers,2748.734747832548,2049.4322290104674
47,snipers,2443.742340872299,2094.8236636402958
48,snipers,2519.103910337946,2125.6169348674684
49,snipers,2873.358819211644,1951.4841571278118
50,early_bidders,2939.338813439883,2522.411557332384
51,snipers,2202.2069428967475,2096.7757655864784
52,early_bidders,2398.8425425882137,2133.817624755715
53,early_bidders,2285.9013530142633,2080.4122040728475
54,early_bidders,2673.664375254959,2659.3693525942995
55,early_bidders,2446.3732824384706,2175.6112326170423
56,snipers,2034.992059026901,1952.689118100451
57,snipers,2344.5546910840867,2230.714180729578
58,snipers,2521.7557061578677,1955.6348430028224
59,snipers,2790.646839741814,2214.1597207591067
60,snipers,2681.789017697644,2105.198007716092
61,snipers,2775.6866992491196,2717.158895440468
62,snipers,3226.0909819732724,2923.477286410364
63,early_bidders,2437.139724581657,2151.600954423868
64,snipers,2732.622539126137,2540.4655853680697
65,snipers,1820.4153889987654,1792.2971934471382
66,early_bidders,1843.6321539916876,1828.4630811401435
67,early_bidders,2576.8052940950797,2263.450769831854
68,snipers,3160.605942431258,2669.0171078411913
69,early_bidders,2428.238130434286,2302.0943695864166
70,snipers,2302.3083008319763,2231.2816491752556
